Date,Geography,Type,Value
2013-12-01,Canada,Total (house and land),93.9
2013-12-01,Canada,House only,93
2013-12-01,Canada,Land only,95.8
2013-12-01,Atlantic Region,Total (house and land),99.1
2013-12-01,Atlantic Region,House only,99.2
2013-12-01,Atlantic Region,Land only,98.5
2013-12-01,Newfoundland and Labrador,Total (house and land),99.6
2013-12-01,Newfoundland and Labrador,House only,100
2013-12-01,Newfoundland and Labrador,Land only,98.5
2013-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.6
2013-12-01,"St. John's, Newfoundland and Labrador",House only,100
2013-12-01,"St. John's, Newfoundland and Labrador",Land only,98.5
2013-12-01,Prince Edward Island,Total (house and land),100.8
2013-12-01,Prince Edward Island,House only,101.8
2013-12-01,Prince Edward Island,Land only,96.7
2013-12-01,"Charlottetown, Prince Edward Island",Total (house and land),100.8
2013-12-01,"Charlottetown, Prince Edward Island",House only,101.8
2013-12-01,"Charlottetown, Prince Edward Island",Land only,96.7
2013-12-01,Nova Scotia,Total (house and land),98.1
2013-12-01,Nova Scotia,House only,98.1
2013-12-01,Nova Scotia,Land only,98.3
2013-12-01,"Halifax, Nova Scotia",Total (house and land),98.1
2013-12-01,"Halifax, Nova Scotia",House only,98.1
2013-12-01,"Halifax, Nova Scotia",Land only,98.3
2013-12-01,New Brunswick,Total (house and land),98.4
2013-12-01,New Brunswick,House only,98.2
2013-12-01,New Brunswick,Land only,100
2013-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.4
2013-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,98.2
2013-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100
2013-12-01,Quebec,Total (house and land),98.7
2013-12-01,Quebec,House only,98.8
2013-12-01,Quebec,Land only,98.8
2013-12-01,"Québec, Quebec",Total (house and land),100.4
2013-12-01,"Québec, Quebec",House only,101.6
2013-12-01,"Québec, Quebec",Land only,98.7
2013-12-01,"Montréal, Quebec",Total (house and land),98.2
