Geography,Year,Avg_Value
Alberta,2013,97.6
Alberta,2014,99.96
Alberta,2015,100.68
Alberta,2016,100.15
Alberta,2017,99.99
Alberta,2018,99.6
Alberta,2019,98.14
Alberta,2020,97.24
Alberta,2021,103.89
Alberta,2022,116.38
Alberta,2023,117.5
Alberta,2024,120.75
Alberta,2025,121.46
Atlantic Region,2013,99.1
Atlantic Region,2014,99.03
Atlantic Region,2015,99.39
Atlantic Region,2016,99.68
Atlantic Region,2017,99.98
Atlantic Region,2018,100.3
Atlantic Region,2019,100.41
Atlantic Region,2020,102.85
Atlantic Region,2021,111.42
Atlantic Region,2022,116.5
Atlantic Region,2023,117.12
Atlantic Region,2024,117.09
Atlantic Region,2025,119.92
British Columbia,2013,94.3
British Columbia,2014,93.88
British Columbia,2015,94.59
British Columbia,2016,98.85
British Columbia,2017,104.45
British Columbia,2018,107.88
British Columbia,2019,106.58
British Columbia,2020,108.12
British Columbia,2021,119.9
British Columbia,2022,127.84
British Columbia,2023,127.22
British Columbia,2024,127.18
British Columbia,2025,126.7
"Calgary, Alberta",2013,95.4
"Calgary, Alberta",2014,99.82
"Calgary, Alberta",2015,100.88
"Calgary, Alberta",2016,100.02
"Calgary, Alberta",2017,100.03
"Calgary, Alberta",2018,99.63
"Calgary, Alberta",2019,97.93
"Calgary, Alberta",2020,96.88
"Calgary, Alberta",2021,105.56
"Calgary, Alberta",2022,122.79
"Calgary, Alberta",2023,126.47
"Calgary, Alberta",2024,131.5
"Calgary, Alberta",2025,132.92
Canada,2013,93.9
Canada,2014,94.93
Canada,2015,96.21
Canada,2016,98.64
Canada,2017,102.17
Canada,2018,103.22
Canada,2019,103.16
Canada,2020,105.31
Canada,2021,116.17
Canada,2022,125.11
Canada,2023,124.82
Canada,2024,124.67
Canada,2025,124.22
"Charlottetown, Prince Edward Island",2013,100.8
"Charlottetown, Prince Edward Island",2014,99.5
"Charlottetown, Prince Edward Island",2015,99.62
"Charlottetown, Prince Edward Island",2016,100.01
"Charlottetown, Prince Edward Island",2017,100.11
"Charlottetown, Prince Edward Island",2018,100.34
"Charlottetown, Prince Edward Island",2019,101.07
"Charlottetown, Prince Edward Island",2020,103.4
"Charlottetown, Prince Edward Island",2021,117.1
"Charlottetown, Prince Edward Island",2022,121.78
"Charlottetown, Prince Edward Island",2023,122.6
"Charlottetown, Prince Edward Island",2024,122.6
"Charlottetown, Prince Edward Island",2025,122.24
"Edmonton, Alberta",2013,99.8
"Edmonton, Alberta",2014,100.08
"Edmonton, Alberta",2015,100.49
"Edmonton, Alberta",2016,100.28
"Edmonton, Alberta",2017,99.95
"Edmonton, Alberta",2018,99.55
"Edmonton, Alberta",2019,98.28
"Edmonton, Alberta",2020,97.64
"Edmonton, Alberta",2021,102.1
"Edmonton, Alberta",2022,109.4
"Edmonton, Alberta",2023,107.52
"Edmonton, Alberta",2024,108.66
"Edmonton, Alberta",2025,108.4
"Greater Sudbury, Ontario",2013,98.4
"Greater Sudbury, Ontario",2014,98.73
"Greater Sudbury, Ontario",2015,98.99
"Greater Sudbury, Ontario",2016,99.33
"Greater Sudbury, Ontario",2017,99.6
"Greater Sudbury, Ontario",2018,100.44
"Greater Sudbury, Ontario",2019,101.41
"Greater Sudbury, Ontario",2020,103.3
"Greater Sudbury, Ontario",2021,117.02
"Greater Sudbury, Ontario",2022,121.68
"Greater Sudbury, Ontario",2023,120.36
"Greater Sudbury, Ontario",2024,118.8
"Greater Sudbury, Ontario",2025,117.8
"Guelph, Ontario",2016,100
"Guelph, Ontario",2017,103.59
"Guelph, Ontario",2018,104.9
"Guelph, Ontario",2019,105.72
"Guelph, Ontario",2020,110.28
"Guelph, Ontario",2021,121.44
"Guelph, Ontario",2022,124
"Guelph, Ontario",2023,123.25
"Guelph, Ontario",2024,122.68
"Guelph, Ontario",2025,122.48
"Halifax, Nova Scotia",2013,98.1
"Halifax, Nova Scotia",2014,98.16
"Halifax, Nova Scotia",2015,98.9
"Halifax, Nova Scotia",2016,99.28
"Halifax, Nova Scotia",2017,100.58
"Halifax, Nova Scotia",2018,101.62
"Halifax, Nova Scotia",2019,102.37
"Halifax, Nova Scotia",2020,106.12
"Halifax, Nova Scotia",2021,116.25
