Geography,Y2016,Y2024,Absolute_Growth,Percent_Growth
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",99.225,164.60833333333335,65.38333333333335,65.89
"Montréal, Quebec",99.61666666666667,152.025,52.40833333333333,52.61
"Windsor, Ontario",97.16666666666667,145.675,48.50833333333334,49.92
"London, Ontario",98.55833333333334,143.55,44.991666666666674,45.65
"Winnipeg, Manitoba",98.88333333333334,139.85833333333335,40.97500000000001,41.44
"Calgary, Alberta",100.01666666666667,131.5,31.483333333333334,31.48
"Vancouver, British Columbia",98.93333333333334,128.48333333333332,29.549999999999983,29.87
"Victoria, British Columbia",97.70833333333333,119.68333333333334,21.97500000000001,22.49
"Halifax, Nova Scotia",99.275,121.09166666666667,21.816666666666663,21.98
"Toronto, Ontario",96.61666666666667,114.2,17.58333333333333,18.2
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",100,115.81666666666666,15.816666666666663,15.82
"Hamilton, Ontario",98.56666666666666,114.11666666666667,15.550000000000011,15.78
"Edmonton, Alberta",100.275,108.65833333333333,8.383333333333326,8.36
"Saskatoon, Saskatchewan",100.05833333333334,106.79166666666667,6.733333333333334,6.73
"St. John's, Newfoundland and Labrador",100.11666666666666,106.56666666666666,6.450000000000003,6.44
"Regina, Saskatchewan",100.35833333333333,101.66666666666667,1.3083333333333371,1.3
